Timestamp WorkflowId PeakValueRss2 PeakValueVsize2 TotalJobCPU2 TotalJobTime2
1449741600.0 134.702 120 167 1942 2256
1449741600.0 134.705 123 169 1970 1989
1449741600.0 134.707 121 168 1939 1967
1449741600.0 134.709 122 166 1870 2176
1449741600.0 134.802 129 173 4054 4495
1449741600.0 134.807 145 212 3969 4779
1449741600.0 134.903 128 173 2886 3029
1449741600.0 134.904 130 177 2534 2838
1449741600.0 134.905 128 174 1974 2285
1449741600.0 134.906 130 174 2450 2742
1449741600.0 134.908 156 215 2690 2814
1449741600.0 134.909 128 174 3243 3396
1449741600.0 134.91 128 173 2787 2937
1449741600.0 4.42 44 76 258 313
1449741600.0 4.52 44 77 149 185
1449741600.0 4.53 43 76 257 276
1449741600.0 4.54 44 76 264 295
1449741600.0 4.55 44 76 164 205
1449741600.0 4.61 44 76 245 287
1449741600.0 4.62 44 76 157 184
1449741600.0 4.64 44 75 269 315
1449741600.0 4.68 52 85 146 224
1449741600.0 4.73 45 78 177 250
1449741600.0 4.75 44 76 274 312
1449741600.0 4.76 61 90 242 304
1449741600.0 4.78 52 85 142 172
