Timestamp WorkflowId PeakValueRss0 PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize0 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU0 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime0 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1790370000.0 1.0 NA 160 197 292 NA NA NA NA NA NA NA 242 288 406 NA NA NA NA NA NA NA 609 174 491 NA NA NA NA NA NA NA 489 486 1042 NA NA NA NA NA NA 
1790370000.0 10.0 NA 165 229 441 0 NA NA NA NA NA NA 246 321 605 0 NA NA NA NA NA NA 939 360 947 186 NA NA NA NA NA NA 492 577 1615 547 NA NA NA NA NA 
1790370000.0 1000.0 NA NA 369 250 0 136 NA NA NA NA NA NA 527 356 0 216 NA NA NA NA NA NA 1444 265 146 212 NA NA NA NA NA NA 1446 653 460 494 NA NA NA NA 
1790370000.0 10001.0 NA 110 342 558 0 190 194 NA NA NA NA 181 460 771 0 271 303 NA NA NA NA 296 276 1023 202 250 322 NA NA NA NA 410 627 1953 550 531 818 NA NA NA 
1790370000.0 10002.0 NA 132 341 560 0 192 196 NA NA NA NA 188 451 758 0 263 304 NA NA NA NA 301 280 1025 200 239 329 NA NA NA NA 433 624 2106 560 482 822 NA NA NA 
1790370000.0 10003.0 NA 189 346 564 0 192 199 NA NA NA NA 293 452 755 0 271 294 NA NA NA NA 2474 291 1002 202 252 318 NA NA NA NA 1331 571 1742 571 584 633 NA NA NA 
1790370000.0 10004.0 NA 128 342 560 0 190 193 NA NA NA NA 184 452 782 0 274 298 NA NA NA NA 267 291 986 193 248 326 NA NA NA NA 390 625 1836 597 641 800 NA NA NA 
1790370000.0 10005.0 NA 129 344 559 0 190 194 NA NA NA NA 184 456 756 0 271 286 NA NA NA NA 328 278 1025 198 239 320 NA NA NA NA 351 569 1969 536 524 806 NA NA NA 
1790370000.0 10006.0 NA 125 346 558 0 188 193 NA NA NA NA 181 452 749 0 266 286 NA NA NA NA 243 263 951 199 243 322 NA NA NA NA 369 611 1732 535 532 834 NA NA NA 
1790370000.0 10007.0 NA 126 344 557 0 217 195 NA NA NA NA 183 457 782 0 336 297 NA NA NA NA 240 274 1048 202 248 331 NA NA NA NA 373 586 1859 546 529 833 NA NA NA 
1790370000.0 10008.0 NA 127 343 563 0 223 195 NA NA NA NA 181 446 767 0 341 300 NA NA NA NA 253 268 1064 198 246 328 NA NA NA NA 372 643 1915 538 532 673 NA NA NA 
1790370000.0 10009.0 NA 127 347 567 0 221 197 NA NA NA NA 186 458 764 0 337 301 NA NA NA NA 292 274 1066 200 243 336 NA NA NA NA 330 594 2023 505 554 846 NA NA NA 
1790370000.0 1001.0 NA NA 379 238 0 0 0 0 0 0 NA NA 513 333 0 0 0 0 0 0 NA NA 1346 299 38 27 42 81 38 79 NA NA 1408 686 106 80 121 158 103 173 
1790370000.0 1001.2 NA NA 608 360 0 0 0 0 NA NA NA NA 807 503 0 0 0 0 NA NA NA NA 5316 440 47 35 40 44 NA NA NA NA 2546 698 119 97 112 93 NA NA 
1790370000.0 1001.3 NA NA 577 289 0 NA NA NA NA NA NA NA 810 397 0 NA NA NA NA NA NA NA 3967 365 102 NA NA NA NA NA NA NA 2036 739 190 NA NA NA NA NA 
1790370000.0 1001.4 NA NA 533 252 0 0 0 NA NA NA NA NA 802 368 0 0 0 NA NA NA NA NA 4700 257 37 39 39 NA NA NA NA NA 2683 588 107 111 91 NA NA NA 
1790370000.0 1002.0 NA NA 424 152 NA NA NA NA NA NA NA NA 589 191 NA NA NA NA NA NA NA NA 1340 94 NA NA NA NA NA NA NA NA 1802 165 NA NA NA NA NA NA 
1790370000.0 1002.3 NA NA 504 336 0 NA NA NA NA NA NA NA 788 434 0 NA NA NA NA NA NA NA 3143 461 104 NA NA NA NA NA NA NA 1891 823 203 NA NA NA NA NA 
1790370000.0 1002.4 NA NA 573 0 NA NA NA NA NA NA NA NA 794 0 NA NA NA NA NA NA NA NA 4662 214 NA NA NA NA NA NA NA NA 2221 651 NA NA NA NA NA NA 
1790370000.0 10024.0 NA 155 357 589 0 220 199 NA NA NA NA 208 459 807 0 344 300 NA NA NA NA 1190 309 1144 219 261 322 NA NA NA NA 650 589 1953 569 662 693 NA NA NA 
1790370000.0 10024.1 NA 146 359 361 0 NA NA NA NA NA NA 209 468 532 0 NA NA NA NA NA NA 1143 282 512 251 NA NA NA NA NA NA 595 437 1116 610 NA NA NA NA NA 
1790370000.0 10024.2 NA 147 358 580 0 NA NA NA NA NA NA 208 456 799 0 NA NA NA NA NA NA 1342 373 1083 210 NA NA NA NA NA NA 688 596 1769 559 NA NA NA NA NA 
1790370000.0 10024.3 NA 149 360 334 0 NA NA NA NA NA NA 210 469 494 0 NA NA NA NA NA NA 1002 263 388 164 NA NA NA NA NA NA 655 405 639 486 NA NA NA NA NA 
1790370000.0 10024.4 NA 146 354 575 0 NA NA NA NA NA NA 207 469 798 0 NA NA NA NA NA NA 1238 352 1164 200 NA NA NA NA NA NA 663 495 1463 555 NA NA NA NA NA 
1790370000.0 10025.0 NA 140 349 570 0 192 196 NA NA NA NA 201 465 767 0 272 300 NA NA NA NA 767 284 1021 208 245 310 NA NA NA NA 571 536 1981 517 612 506 NA NA NA 
1790370000.0 1003.0 NA NA 433 0 NA NA NA NA NA NA NA NA 661 0 NA NA NA NA NA NA NA NA 1305 127 NA NA NA NA NA NA NA NA 1596 425 NA NA NA NA NA NA 
1790370000.0 10042.0 NA 139 347 574 0 221 157 NA NA NA NA 199 464 777 0 346 301 NA NA NA NA 526 265 1045 213 263 329 NA NA NA NA 559 539 1807 624 642 797 NA NA NA 
1790370000.0 1005.0 NA NA 252 170 0 0 NA NA NA NA NA NA 425 272 0 0 NA NA NA NA NA NA 310 188 35 31 NA NA NA NA NA NA 725 360 117 76 NA NA NA NA 
1790370000.0 10059.0 NA 180 362 597 0 195 203 NA NA NA NA 246 471 809 0 283 299 NA NA NA NA 2787 304 1286 220 256 311 NA NA NA NA 1337 626 1753 607 663 538 NA NA NA 
1790370000.0 10071.0 NA 149 353 581 0 192 198 NA NA NA NA 211 455 772 0 272 303 NA NA NA NA 1147 292 1138 218 251 331 NA NA NA NA 757 630 2040 563 669 751 NA NA NA 
1790370000.0 101.0 NA 195 NA NA NA NA NA NA NA NA NA 329 NA NA NA NA NA NA NA NA NA 337 NA NA NA NA NA NA NA NA NA 757 NA NA NA NA NA NA NA NA 
