Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1449655200.0 133.0 72 92 194 NA 101 144 231 NA 12127 797 1604 NA 12497 839 1647 NA
1449655200.0 134.912 NA 117 215 0 NA 164 259 0 NA 2400 8162 1264 NA 2676 8520 1326
1449655200.0 204.0 69 103 210 0 98 150 257 0 6436 1397 2365 1209 6528 2318 3167 1284
1449655200.0 4.45 NA 35 215 0 NA 68 256 0 NA 247 13308 1137 NA 306 13639 1190
1449655200.0 4.61 NA 36 220 0 NA 68 260 0 NA 243 13119 1146 NA 306 13484 1206
1449655200.0 4.74 NA 36 214 0 NA 67 254 0 NA 248 11578 1219 NA 305 11915 1295
1449655200.0 4000.0 NA 84 195 NA NA 140 233 NA NA 4143 5785 NA NA 4230 6020 NA
1449655200.0 500200.1 77 153 177 NA 108 195 219 NA 7851 1947 3295 NA 8029 2838 3729 NA
