Timestamp WorkflowId PeakValueRss0 PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize0 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU0 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime0 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1790413200.0 1.0 NA 149 185 282 NA NA NA NA NA NA NA 229 272 432 NA NA NA NA NA NA NA 597 161 397 NA NA NA NA NA NA NA 378 173 465 NA NA NA NA NA NA 
1790413200.0 1000.0 NA NA 376 181 0 117 NA NA NA NA NA NA 553 296 0 187 NA NA NA NA NA NA 1097 195 132 203 NA NA NA NA NA NA 753 195 146 200 NA NA NA NA 
1790413200.0 10001.0 NA 125 312 508 0 158 199 NA NA NA NA 169 398 720 0 230 300 NA NA NA NA 226 168 670 190 195 201 NA NA NA NA 201 121 630 203 200 209 NA NA NA 
1790413200.0 10002.0 NA 119 308 515 0 153 202 NA NA NA NA 171 411 680 0 231 299 NA NA NA NA 279 168 658 192 201 210 NA NA NA NA 226 126 651 226 210 240 NA NA NA 
1790413200.0 10003.0 NA 176 313 508 0 155 190 NA NA NA NA 273 411 720 0 230 299 NA NA NA NA 2036 162 701 192 203 212 NA NA NA NA 925 117 694 204 217 224 NA NA NA 
1790413200.0 10004.0 NA 124 313 507 0 158 189 NA NA NA NA 170 413 712 0 230 298 NA NA NA NA 224 168 673 185 197 210 NA NA NA NA 234 133 632 200 203 217 NA NA NA 
1790413200.0 10005.0 NA 126 312 510 0 156 201 NA NA NA NA 172 401 702 0 228 297 NA NA NA NA 274 160 673 190 196 203 NA NA NA NA 244 122 616 209 201 207 NA NA NA 
1790413200.0 10006.0 NA 117 310 503 0 156 200 NA NA NA NA 166 424 693 0 229 300 NA NA NA NA 202 164 675 185 203 205 NA NA NA NA 194 117 606 227 217 222 NA NA NA 
1790413200.0 10007.0 NA 115 278 528 0 179 199 NA NA NA NA 172 407 709 0 299 299 NA NA NA NA 208 174 688 189 214 224 NA NA NA NA 214 141 677 204 223 236 NA NA NA 
1790413200.0 10008.0 NA 116 304 519 0 189 193 NA NA NA NA 170 403 701 0 299 301 NA NA NA NA 207 172 702 194 207 208 NA NA NA NA 218 124 643 207 215 219 NA NA NA 
1790413200.0 10009.0 NA 94 313 517 0 190 202 NA NA NA NA 170 417 708 0 297 298 NA NA NA NA 240 170 714 187 208 216 NA NA NA NA 220 124 628 199 217 222 NA NA NA 
1790413200.0 1001.0 NA NA 345 181 0 0 0 0 0 0 NA NA 482 258 0 0 0 0 0 0 NA NA 1026 243 35 23 36 81 34 77 NA NA 742 252 48 30 45 91 45 86 
1790413200.0 1001.2 NA NA 507 222 0 0 0 0 NA NA NA NA 769 342 0 0 0 0 NA NA NA NA 4570 373 43 35 34 41 NA NA NA NA 1803 269 51 47 44 51 NA NA 
1790413200.0 1001.3 NA NA 541 205 0 NA NA NA NA NA NA NA 748 314 0 NA NA NA NA NA NA NA 3701 238 81 NA NA NA NA NA NA NA 1467 232 102 NA NA NA NA NA 
1790413200.0 1001.4 NA NA 550 174 0 0 0 NA NA NA NA NA 755 278 0 0 0 NA NA NA NA NA 3799 201 34 34 35 NA NA NA NA NA 1501 211 43 43 46 NA NA NA 
1790413200.0 1002.3 NA NA 530 222 0 NA NA NA NA NA NA NA 747 338 0 NA NA NA NA NA NA NA 3045 360 86 NA NA NA NA NA NA NA 1482 296 108 NA NA NA NA NA 
1790413200.0 1002.4 NA NA 541 0 NA NA NA NA NA NA NA NA 724 0 NA NA NA NA NA NA NA NA 4468 176 NA NA NA NA NA NA NA NA 1906 197 NA NA NA NA NA NA 
1790413200.0 10024.0 NA 143 314 541 0 186 191 NA NA NA NA 198 417 716 0 298 306 NA NA NA NA 961 193 771 206 212 226 NA NA NA NA 432 160 628 218 215 237 NA NA NA 
1790413200.0 10024.2 NA 146 324 532 0 NA NA NA NA NA NA 195 415 721 0 NA NA NA NA NA NA 982 175 784 204 NA NA NA NA NA NA 435 118 702 295 NA NA NA NA NA 
1790413200.0 10024.4 NA 137 323 527 0 NA NA NA NA NA NA 198 413 710 0 NA NA NA NA NA NA 1020 173 756 187 NA NA NA NA NA NA 517 117 674 201 NA NA NA NA NA 
1790413200.0 10025.0 NA 138 316 527 0 156 204 NA NA NA NA 187 423 754 0 232 298 NA NA NA NA 632 169 726 202 204 209 NA NA NA NA 346 116 649 229 217 219 NA NA NA 
1790413200.0 1003.0 NA NA 410 0 NA NA NA NA NA NA NA NA 635 0 NA NA NA NA NA NA NA NA 1120 122 NA NA NA NA NA NA NA NA 676 193 NA NA NA NA NA NA 
1790413200.0 10042.0 NA 132 315 521 0 193 204 NA NA NA NA 185 421 700 0 301 300 NA NA NA NA 478 147 713 205 203 216 NA NA NA NA 312 121 670 223 205 224 NA NA NA 
1790413200.0 1005.0 NA NA 223 156 0 0 NA NA NA NA NA NA 398 254 0 0 NA NA NA NA NA NA 302 175 33 28 NA NA NA NA NA NA 361 204 48 39 NA NA NA NA 
1790413200.0 10059.0 NA 170 315 535 0 163 205 NA NA NA NA 235 431 716 0 236 307 NA NA NA NA 2565 197 967 209 200 211 NA NA NA NA 884 144 876 247 232 256 NA NA NA 
1790413200.0 10071.0 NA 146 320 538 0 155 191 NA NA NA NA 196 418 731 0 232 302 NA NA NA NA 1047 178 769 213 208 226 NA NA NA NA 504 132 604 229 234 286 NA NA NA 
1790413200.0 101.0 NA 181 NA NA NA NA NA NA NA NA NA 324 NA NA NA NA NA NA NA NA NA 332 NA NA NA NA NA NA NA NA NA 348 NA NA NA NA NA NA NA NA 
1790413200.0 1010.0 NA NA 102 119 0 NA NA NA NA NA NA NA 175 196 0 NA NA NA NA NA NA NA 149 167 63 NA NA NA NA NA NA NA 214 223 73 NA NA NA NA NA 
1790413200.0 102.0 NA 161 NA NA NA NA NA NA NA NA NA 317 NA NA NA NA NA NA NA NA NA 313 NA NA NA NA NA NA NA NA NA 327 NA NA NA NA NA NA NA NA 
1790413200.0 103.0 NA 114 0 0 NA NA NA NA NA NA NA 171 0 0 NA NA NA NA NA NA NA 223 65 496 NA NA NA NA NA NA NA 294 98 560 NA NA NA NA NA NA 
1790413200.0 1040.0 NA NA 520 101 0 NA NA NA NA NA NA NA 727 163 0 NA NA NA NA NA NA NA 3946 144 46 NA NA NA NA NA NA NA 1409 162 61 NA NA NA NA NA 
