Creation,Merge,id,N. of Comments,Closed,N. Labels
1399163106,1399370627,3661,5,1,4
1399164898,1399524458,3662,8,1,4
1399210663,1399888414,3663,19,1,4
1399270949,1399399863,3664,7,1,4
1399278572,1399304224,3665,7,1,4
1399279198,1399399380,3666,5,1,4
1399284170,1400843464,3667,29,1,6
1399286642,1399542868,3668,11,1,4
1399288159,1399358173,3669,5,1,4
1399288780,1399289189,3670,1,1,4
1399292010,1399610887,3671,14,1,4
1399292325,1399628429,3672,4,1,5
1399294106,1399363970,3673,7,1,4
1399302275,1402644216,3674,14,1,5
1399302646,1399325530,3675,2,1,4
1399305860,1399536261,3676,12,1,4
1399308897,1400065078,3677,2,1,5
1399312639,1399961406,3678,9,1,4
1399314044,1400246872,3679,3,1,5
1399314757,1400518763,3680,11,1,8
1399317810,1399563058,3681,20,1,4
1399347256,1399517635,3682,23,1,8
1399353501,1399541910,3683,9,1,4
1399359812,1399535675,3684,5,1,5
1399361733,1399452129,3685,5,1,4
1399364088,1399542191,3686,8,1,4
1399364710,1399450080,3687,7,1,4
1399369647,1399454665,3688,7,1,4
1399373904,1399449775,3689,6,1,4
1399375092,1399953425,3690,10,1,4
