Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus, lastUpdateTime, milestoneTitle
1374262340,1379741715,151,1,3,1,4,alja,NNNNNNNNNNNNNNNPA,1379741715,CMSSW_6_2_2
1374277117,1374440383,152,1,1,1,5,wmtan,NNNNNNPNNNNNNNNPN,1401948205,-
1374291776,1381804358,153,1,4,1,3,alja,NNNNNNNNNNNNNNNPP,1382018597,Next CMSSW_6_2_X_SLHC
1374296499,1374296640,154,1,0,1,0,ktf,NNNNNNNNNNNNNNNNN,1380868979,-
1374309946,1374310047,155,1,0,1,0,civanch,NNNNNNNNNNNNNNNNN,1375454576,-
1374415356,1378101998,156,1,26,1,4,deguio,NRNNNPNNNNNNNPNNN,1378646408,CMSSW_7_0_0_pre4
1374481647,1374582053,157,0,4,1,0,joshmt1,NNNNNNNNNNNNNNNNN,1374582053,-
1374492108,1374492130,158,1,0,1,0,smuzaffar,NNNNNNNNNNNNNNNNN,1374492130,-
1374492493,1374503268,159,1,2,1,0,vciulli,NNNNNNNNNNNNNNNNN,1374503268,-
1374502004,1374664975,160,1,0,1,0,ghellwig,NNNNNNNNNNNNNNNNN,1374667896,-
1374503369,1374741955,161,1,1,1,0,vciulli,NNNNNNNNNNNNNNNNN,1374741955,-
1374517740,1374520283,162,1,0,1,0,davidlange6,NNNNNNNNNNNNNNNNN,1378191519,-
1374523139,1374523145,163,1,0,1,0,ktf,NNNNNNNNNNNNNNNNN,1380868979,-
1374567938,1376054976,164,1,8,1,0,folguera,NNNNNNNNNNNNNNNNN,1378389488,CMSSW_7_0_0_pre2
1374568842,1374580602,165,1,0,1,0,Martin-Grunewald,NNNNNNNNNNNNNNNNN,1374580602,-
1374576104,1374580613,166,1,0,1,0,smuzaffar,NNNNNNNNNNNNNNNNN,1374580613,-
1374581331,1374683114,167,1,2,1,0,wmtan,NNNNNNNNNNNNNNNNN,1374683326,-
1374583335,1376658079,168,1,2,1,0,inugent,NNNNNNNNNNNNNNNNN,1376658079,CMSSW_5_3_12
1374586859,1374683144,169,1,2,1,0,deguio,NNNNNNNNNNNNNNNNN,1374734214,-
1374587510,1379922905,170,1,6,1,6,folguera,NNNNNANNNNNNNAAAN,1379922905,CMSSW_6_2_2
1374596310,1375735939,171,1,3,1,0,mtosi,NNNNNNNNNNNNNNNNN,1375787412,CMSSW_7_0_0_pre2
1374596853,1376042412,172,1,8,1,0,mtosi,NNNNNNNNNNNNNNNNN,1376042412,-
1374651211,1376042070,173,0,3,1,0,ledovsk,NNNNNNNNNNNNNNNNN,1376042070,-
1374651429,1374661726,174,1,3,1,0,jhgoh,NNNNNNNNNNNNNNNNN,1374661846,-
1374659063,1378811093,175,1,9,1,2,mandrenguyen,NNNNNNNNNNNNNANNN,1378811093,CMSSW_7_0_0_pre4
1374666306,1375890622,176,1,10,1,0,jhgoh,NNNNNNNNNNNNNNNNN,1375890622,CMSSW_6_2_2
1374671354,1374671378,177,0,1,1,0,daveccern,NNNNNNNNNNNNNNNNN,1375526309,-
1374686856,1381933334,178,0,2,1,0,suvadeepbose,NNNNNNNNNNNNNNNNN,1381933334,Git issues and UserCode migration to Git
1374700853,1375093931,179,1,11,1,0,vlimant,NNNNNNNNNNNNNNNNN,1375098302,-
1374726629,1375734483,180,1,14,1,0,jhgoh,NNNNNNNNNNNNNNNNN,1375734483,CMSSW_7_0_0_pre2
