Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus
1406528472,1407395546,4801,1,19,1,4,bellan,16894634607
1406529756,1406532168,4802,0,1,1,0,bellan,16894634607
1406547740,1406572240,4803,1,7,1,4,civanch,16894634623
1406554617,1406801590,4804,1,2,1,5,jpavel,16893586043
1406554821,1406572220,4805,1,5,1,4,smorovic,16893586043
1406554924,1406605295,4806,1,3,1,5,smorovic,16893586043
1406561054,1406637121,4807,1,5,1,4,deguio,16894634623
1406564609,1406652783,4808,1,5,1,5,srimanob,16894635647
1406565561,1406615503,4809,1,9,1,4,isando3,16894635647
1406579828,1406612495,4810,1,1,1,5,wmtan,15820893883
1406585376,1406868180,4811,1,7,1,5,dmitrijus,15820893951
1406603621,1406614137,4812,0,0,1,0,schoef,15820893951
1406603797,1406616554,4813,1,6,1,4,Martin-Grunewald,15820893951
1406609902,1406615107,4814,0,0,1,0,mmarionncern,15820893951
1406620961,1406620979,4815,1,0,1,0,davidlt,15820893951
1406627013,1406868164,4816,1,8,1,4,ebouvier,15820893951
1406638226,1406871294,4817,1,5,1,4,vsimetka,15820893951
1406652422,1406724766,4818,1,2,1,4,lecriste,15818796795
1406657660,1407239588,4819,1,11,1,5,isando3,15818796799
1406659120,1406868116,4820,1,5,1,4,rappoccio,15820893951
1406679476,1406725778,4821,1,2,1,6,jalimena,15820631803
1406679592,1406725786,4822,1,2,1,5,jalimena,15820631803
1406696721,1407223884,4823,1,8,1,5,Martin-Grunewald,15820893951
1406699108,1410849161,4824,0,2,1,0,nickmccoll,15820893951
1406700695,1406700705,4825,1,0,1,0,davidlt,15820893951
1406708550,1407785084,4826,1,20,1,4,archiron,15820893951
1406717405,1406717417,4827,1,0,1,0,davidlt,15820893951
1406720104,1406722937,4828,1,2,1,5,sarafiorendi,15820893947
1406721433,1406867958,4829,1,7,1,4,sarafiorendi,15820893951
1406722368,1407239525,4830,1,7,1,5,sarafiorendi,15820893951
