Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus
1391450981,1391500126,2281,1,2,1,4,mdhildreth,16826165418
1391451600,1391522953,2282,1,6,1,5,wddgit,17094666430
1391454330,1391601063,2283,1,4,1,3,TaiSakuma,17094666494
1391458604,1391505843,2284,1,5,1,3,wmtan,17094666494
1391470707,1392904866,2285,1,6,1,4,wmtford,17094666494
1391498022,1392039403,2286,1,29,1,9,makortel,12799682726
1391499680,1393508762,2287,1,19,1,3,argiro,12799682734
1391501043,1391508965,2288,1,7,1,4,vlimant,12799683754
1391522396,1391522831,2289,1,2,1,4,degano,12531248298
1391523679,1391605442,2290,1,12,1,3,ktf,12531248366
1391523842,1392967998,2291,1,19,1,4,mtosi,12531248366
1391528504,1391567263,2292,1,3,1,5,ianna,12531264746
1391528857,1391596394,2293,1,6,1,3,bfabbro,12531264750
1391529181,1391598599,2294,1,14,1,5,mtosi,12531263598
1391533639,1392907608,2295,1,33,1,5,VinInn,11457521834
1391535372,1392914395,2296,1,16,1,6,VinInn,12531263742
1391540219,1391540341,2297,1,2,1,7,ktf,12531263658
1391547125,1391547971,2298,1,6,1,9,ojeda,11475347626
1391549907,1391598678,2299,1,3,1,4,wddgit,11474299054
1391563626,1391804652,2300,1,6,1,3,rappoccio,11474299118
1391584510,1392376975,2301,1,4,1,4,abdoulline,11474299110
1391586853,1391671011,2302,1,6,1,4,franzoni,11474300142
1391587773,1391588011,2303,0,1,1,0,unclok,11474300142
1391588698,1392731535,2304,1,11,1,5,ianna,11474283754
1391590395,1392975741,2305,1,32,1,5,VinInn,11474283774
1391598111,1391598116,2306,1,0,1,0,ktf,11474283774
1391600414,1391600581,2307,1,2,1,4,ggovi,11457506554
1391610855,1392808361,2308,1,6,1,4,perrotta,11457506558
1391611805,1391681580,2309,1,5,1,3,ktf,11458555134
1391627126,1391629261,2310,1,3,1,3,wmtan,11458555130
