Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus
1389615852,1389970081,2011,1,4,1,6,bsunanda,11457489066
1389620321,1390471801,2012,1,7,1,4,batinkov,11458537646
1389621800,1389677641,2013,1,3,1,3,fwyzard,11457489070
1389622216,1389622229,2014,1,1,1,0,davidlt,11457489070
1389624757,1389625040,2015,1,1,1,3,wmtan,11457489066
1389624976,1393588106,2016,1,12,1,4,giamman,11457226926
1389630141,1389954655,2017,1,4,1,4,batinkov,11456178350
1389643656,1390471824,2018,1,15,1,4,sarafiorendi,11456178350
1389644221,1389954611,2019,1,4,1,4,batinkov,11456178350
1389648305,1389954633,2020,1,5,1,4,batinkov,11456178342
1389651889,1389693790,2021,1,3,1,3,wmtan,11456178346
1389681003,1390471849,2022,1,5,1,4,batinkov,11458275502
1389685123,1389790809,2023,1,9,1,4,perrotta,11458275502
1389702368,1389774792,2024,1,4,1,3,mommsen,11525384366
1389709955,1389947963,2025,1,3,1,6,bsunanda,11525384362
1389710011,1389710032,2026,1,0,1,0,davidlt,11525384362
1389714877,1389791163,2027,1,7,1,4,HuguesBrun,11525384366
1389723937,1389792137,2028,1,7,1,4,inugent,11525384366
1389729758,1391605484,2029,1,4,1,4,rappoccio,11525384366
1389740391,1389763869,2030,1,1,1,3,wmtan,11525384362
1389765366,1389980805,2031,1,3,1,6,dildick,11525384362
1389774471,1390819980,2032,1,6,1,4,mmerola,11523287210
1389785411,1391415589,2033,0,0,1,0,vadler,11523287210
1389793013,1390471906,2034,1,8,1,4,mtosi,11525384366
1389801404,1393428645,2035,1,15,1,5,iik1997,11525385402
1389811905,1389812090,2036,1,1,1,4,apfeiffer1,11525385402
1389812271,1390818134,2037,1,13,1,4,deguio,11525385406
1389815274,1389815414,2038,1,0,1,0,wmtan,11525385406
1389856744,1390296178,2039,1,10,1,4,andreh7,11525385406
1389859643,1391604995,2040,1,5,1,4,veelken,11525385406
