Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1443430800.0 1344.0 NA 134 NA NA 178 NA NA 976 NA NA 1016 NA
1443430800.0 1345.0 NA 135 NA NA 181 NA NA 971 NA NA 1031 NA
1443430800.0 1347.0 NA 134 NA NA 177 NA NA 1005 NA NA 1061 NA
1443430800.0 1348.0 NA 135 NA NA 180 NA NA 1032 NA NA 1110 NA
1443430800.0 1349.0 NA 133 NA NA 179 NA NA 1057 NA NA 1115 NA
1443430800.0 135.8 88 NA NA 121 NA NA 441 NA NA 611 NA NA
1443430800.0 1350.0 NA 134 NA NA 176 NA NA 1011 NA NA 1072 NA
1443430800.0 1351.0 NA 138 NA NA 181 NA NA 992 NA NA 1089 NA
1443430800.0 14.0 NA 90 NA NA 124 NA NA 3286 NA NA 3320 NA
1443430800.0 140.0 NA 209 NA NA 266 NA NA 10183 NA NA 10337 NA
1443430800.0 140.1 NA 101 NA NA 137 NA NA 332 NA NA 351 NA
1443430800.0 140.2 NA 99 NA NA 135 NA NA 347 NA NA 395 NA
1443430800.0 140.4 NA 97 NA NA 134 NA NA 356 NA NA 382 NA
1443430800.0 140.51 NA 55 NA NA 87 NA NA 5690 NA NA 5877 NA
1443430800.0 15.0 NA 85 NA NA 119 NA NA 2827 NA NA 2867 NA
1443430800.0 16.0 NA 89 NA NA 122 NA NA 2986 NA NA 3073 NA
1443430800.0 17.0 NA 85 NA NA 119 NA NA 2912 NA NA 2958 NA
1443430800.0 18.0 NA 85 NA NA 119 NA NA 2800 NA NA 2842 NA
1443430800.0 19.0 NA 84 NA NA 119 NA NA 2787 NA NA 2820 NA
1443430800.0 2.0 71 85 NA 95 111 NA 8419 533 NA 8571 538 NA
1443430800.0 20.0 NA 88 NA NA 122 NA NA 2887 NA NA 2941 NA
1443430800.0 200.0 NA 96 NA NA 131 NA NA 1193 NA NA 1946 NA
1443430800.0 202.0 NA 99 NA NA 133 NA NA 1230 NA NA 1951 NA
1443430800.0 203.0 NA 95 NA NA 131 NA NA 1190 NA NA 1862 NA
1443430800.0 204.0 NA 97 NA NA 131 NA NA 1223 NA NA 1980 NA
1443430800.0 205.0 NA 96 NA NA 131 NA NA 1242 NA NA 2065 NA
1443430800.0 21.0 NA 88 NA NA 123 NA NA 3109 NA NA 3217 NA
1443430800.0 22.0 NA 88 NA NA 122 NA NA 3280 NA NA 3413 NA
1443430800.0 23.0 NA 90 NA NA 124 NA NA 3460 NA NA 3542 NA
1443430800.0 24.0 NA 91 NA NA 123 NA NA 3669 NA NA 3812 NA
1443430800.0 25.0 NA 90 NA NA 122 NA NA 3957 NA NA 4197 NA
1443430800.0 250199.0 127 NA NA 159 NA NA 5081 NA NA 12009 NA NA
1443430800.0 250200.0 NA 152 NA NA 195 NA NA 8710 NA NA 9430 NA
1443430800.0 250200.1 78 136 NA 104 174 NA 7633 1214 NA 8666 1352 NA
1443430800.0 250202.0 NA 154 NA NA 194 NA NA 10250 NA NA 11774 NA
1443430800.0 250203.0 NA 152 NA NA 193 NA NA 9403 NA NA 11086 NA
1443430800.0 250204.0 NA 152 NA NA 192 NA NA 8529 NA NA 9092 NA
1443430800.0 250205.0 NA 150 NA NA 190 NA NA 7661 NA NA 8826 NA
1443430800.0 250206.0 NA 152 NA NA 192 NA NA 8699 NA NA 9041 NA
1443430800.0 250207.0 NA 143 NA NA 185 NA NA 6546 NA NA 7574 NA
1443430800.0 25200.0 NA 173 NA NA 219 NA NA 5102 NA NA 12517 NA
1443430800.0 25202.0 NA 172 NA NA 219 NA NA 5062 NA NA 5387 NA
1443430800.0 25203.0 NA 171 NA NA 225 NA NA 4960 NA NA 5320 NA
1443430800.0 25204.0 NA 171 NA NA 222 NA NA 4824 NA NA 5092 NA
1443430800.0 25205.0 NA 167 NA NA 217 NA NA 4754 NA NA 5149 NA
1443430800.0 25206.0 NA 171 NA NA 225 NA NA 4995 NA NA 5331 NA
1443430800.0 25207.0 NA 162 NA NA 211 NA NA 4720 NA NA 11077 NA
1443430800.0 25208.0 NA 177 NA NA 227 NA NA 5404 NA NA 9237 NA
1443430800.0 26.0 NA 89 NA NA 122 NA NA 3283 NA NA 3425 NA
1443430800.0 27.0 NA 90 NA NA 122 NA NA 3422 NA NA 3554 NA
1443430800.0 28.0 NA 90 NA NA 123 NA NA 3708 NA NA 3821 NA
1443430800.0 280.0 89 87 NA 166 113 NA 10989 532 NA 11101 550 NA
1443430800.0 29.0 NA 89 NA NA 123 NA NA 3551 NA NA 3619 NA
1443430800.0 3.0 74 83 NA 98 107 NA 13986 343 NA 14110 364 NA
1443430800.0 30.0 NA 90 NA NA 123 NA NA 3571 NA NA 3681 NA
1443430800.0 31.0 NA 88 NA NA 121 NA NA 3407 NA NA 3451 NA
1443430800.0 32.0 NA 90 NA NA 122 NA NA 3406 NA NA 3472 NA
1443430800.0 33.0 NA 89 NA NA 122 NA NA 3320 NA NA 3417 NA
1443430800.0 34.0 NA 89 NA NA 123 NA NA 3446 NA NA 3607 NA
1443430800.0 35.0 NA 90 NA NA 122 NA NA 3529 NA NA 3654 NA
1443430800.0 36.0 NA 91 NA NA 124 NA NA 3691 NA NA 3778 NA
1443430800.0 37.0 NA 91 NA NA 124 NA NA 3881 NA NA 3955 NA
1443430800.0 38.0 NA 90 NA NA 122 NA NA 3803 NA NA 3960 NA
1443430800.0 39.0 NA 92 NA NA 125 NA NA 3947 NA NA 4055 NA
1443430800.0 4.17 NA 43 NA NA 70 NA NA 100 NA NA 109 NA
1443430800.0 4.22 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1443430800.0 4.23 NA 59 NA NA 92 NA NA 403 NA NA 457 NA
1443430800.0 4.24 NA 53 NA NA 78 NA NA 180 NA NA 204 NA
1443430800.0 4.25 NA 53 NA NA 77 NA NA 173 NA NA 195 NA
1443430800.0 4.26 NA 52 NA NA 77 NA NA 120 NA NA 223 NA
1443430800.0 4.27 NA 54 NA NA 79 NA NA 194 NA NA 216 NA
1443430800.0 4.28 NA 62 NA NA 95 NA NA 589 NA NA 749 NA
1443430800.0 4.29 NA 44 NA NA 71 NA NA 119 NA NA 151 NA
1443430800.0 4.34 NA 58 NA NA 90 NA NA 442 NA NA 468 NA
1443430800.0 4.35 NA 51 NA NA 77 NA NA 195 NA NA 247 NA
1443430800.0 4.36 NA 51 NA NA 76 NA NA 149 NA NA 168 NA
1443430800.0 4.37 NA 52 NA NA 78 NA NA 168 NA NA 183 NA
1443430800.0 4.4 NA 43 NA NA 72 NA NA 140 NA NA 151 NA
1443430800.0 4.41 NA 43 NA NA 72 NA NA 159 NA NA 180 NA
1443430800.0 4.42 NA 43 NA NA 72 NA NA 162 NA NA 186 NA
1443430800.0 4.43 NA 44 NA NA 73 NA NA 128 NA NA 156 NA
1443430800.0 4.44 NA 42 NA NA 71 NA NA 157 NA NA 216 NA
1443430800.0 4.45 NA 43 NA NA 72 NA NA 154 NA NA 225 NA
1443430800.0 4.51 NA 43 NA NA 72 NA NA 150 NA NA 189 NA
1443430800.0 4.52 NA 42 NA NA 72 NA NA 174 NA NA 196 NA
1443430800.0 4.53 NA 43 NA NA 72 NA NA 172 NA NA 191 NA
1443430800.0 4.54 NA 43 NA NA 71 NA NA 166 NA NA 183 NA
1443430800.0 4.55 NA 43 NA NA 71 NA NA 173 NA NA 191 NA
