Timestamp WorkflowId PeakValueRss2 PeakValueVsize2 TotalJobCPU2 TotalJobTime2
1550484000.0 136.762 90 147 1801 2085
1550484000.0 136.82 79 154 1361 1611
1550484000.0 136.824 97 154 1353 1592
1550484000.0 136.831 97 154 1398 1610
1550484000.0 136.832 83 151 1386 2008
1550484000.0 136.836 93 155 1451 1695
1550484000.0 136.842 91 155 1479 1730
1550484000.0 136.843 89 154 1389 2070
1550484000.0 136.848 94 155 1903 2193
1550484000.0 136.864 204 275 11440 12354
1550484000.0 136.8642 193 275 11451 12369
1550484000.0 136.8643 204 275 11440 12257
1550484000.0 136.865 196 277 10644 11529
1550484000.0 136.872 191 274 11986 12890
1550484000.0 136.876 200 272 10806 11471
