Timestamp WorkflowId PeakValueRss2 PeakValueVsize2 TotalJobCPU2 TotalJobTime2 
1761253200.0 2500.1502 148 251 7017 6086 
1761253200.0 2500.1504 147 246 9300 8880 
1761253200.0 2500.2204 293 426 8190 2778 
1761253200.0 2500.2208 277 513 25521 13234 
1761253200.0 2500.2304 324 439 6386 1933 
1761253200.0 2500.231 86 168 3740 2281 
1761253200.0 2500.3204 310 444 7214 2279 
1761253200.0 2500.3205 278 479 7778 2555 
1761253200.0 2500.3208 296 444 8752 4625 
1761253200.0 2500.3209 291 428 5054 1645 
1761253200.0 2500.3305 281 417 6999 2356 
1761253200.0 29634.773 667 923 1150 992 
