Timestamp WorkflowId PeakValueRss2 PeakValueVsize2 TotalJobCPU2 TotalJobTime2 
1760173200.0 144.6 412 573 1204 1106 
1760173200.0 2500.1302 157 260 7058 8247 
1760173200.0 2500.1304 158 258 9236 9579 
1760173200.0 2500.2204 291 447 8152 2545 
1760173200.0 2500.2208 310 500 24781 13656 
1760173200.0 2500.2304 323 444 6321 2383 
1760173200.0 2500.2309 341 540 18649 8911 
1760173200.0 2500.3204 313 455 6675 2375 
1760173200.0 2500.3205 320 497 7601 2560 
1760173200.0 2500.3209 297 455 5130 2471 
1760173200.0 2500.3305 312 433 6465 2418 
