Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueVsize2 PeakValueVsize3 TotalJobCPU2 TotalJobCPU3 TotalJobTime2 TotalJobTime3 
1760475600.0 10804.31 290 0 415 0 954 851 396 976 
1760475600.0 10805.31 291 0 414 0 950 845 411 979 
1760475600.0 144.6 390 NA 606 NA 2071 NA 1728 NA 
1760475600.0 2500.1304 151 NA 285 NA 16623 NA 12820 NA 
1760475600.0 2500.2208 310 NA 514 NA 52739 NA 19479 NA 
1760475600.0 2500.2304 313 NA 475 NA 15724 NA 4806 NA 
1760475600.0 2500.3204 298 NA 449 NA 16974 NA 4984 NA 
1760475600.0 2500.3205 331 NA 509 NA 17889 NA 5294 NA 
1760475600.0 2500.3305 304 NA 454 NA 16062 NA 4826 NA 
1760475600.0 29634.773 658 NA 927 NA 2219 NA 1744 NA 
